,daily_order,weekly_order,yearly_order,daily_scale,weekly_scale,yearly_scale,1d_rmse,1d_mape,3d_rmse,3d_mape
18,3.0,3.0,3.0,10.0,10.0,10.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
19,3.0,3.0,4.0,10.0,10.0,10.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
20,3.0,4.0,3.0,10.0,10.0,10.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
21,3.0,4.0,4.0,10.0,10.0,10.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
22,3.0,5.0,3.0,10.0,10.0,10.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
23,3.0,5.0,4.0,10.0,10.0,10.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
24,4.0,3.0,3.0,10.0,10.0,10.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
25,4.0,3.0,4.0,10.0,10.0,10.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
26,4.0,4.0,3.0,10.0,10.0,10.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
27,4.0,4.0,4.0,10.0,10.0,10.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
28,4.0,5.0,3.0,10.0,10.0,10.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
29,4.0,5.0,4.0,10.0,10.0,10.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
30,5.0,3.0,3.0,10.0,10.0,10.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
31,5.0,3.0,4.0,10.0,10.0,10.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
32,5.0,4.0,3.0,10.0,10.0,10.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
33,5.0,4.0,4.0,10.0,10.0,10.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
34,5.0,5.0,3.0,10.0,10.0,10.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
35,5.0,5.0,4.0,10.0,10.0,10.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
36,3.0,3.0,3.0,10.0,10.0,20.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
37,3.0,3.0,4.0,10.0,10.0,20.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
38,3.0,4.0,3.0,10.0,10.0,20.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
39,3.0,4.0,4.0,10.0,10.0,20.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
40,3.0,5.0,3.0,10.0,10.0,20.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
41,3.0,5.0,4.0,10.0,10.0,20.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
42,4.0,3.0,3.0,10.0,10.0,20.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
43,4.0,3.0,4.0,10.0,10.0,20.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
44,4.0,4.0,3.0,10.0,10.0,20.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
45,4.0,4.0,4.0,10.0,10.0,20.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
46,4.0,5.0,3.0,10.0,10.0,20.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
47,4.0,5.0,4.0,10.0,10.0,20.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
48,5.0,3.0,3.0,10.0,10.0,20.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
49,5.0,3.0,4.0,10.0,10.0,20.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
